BEHIPA_ID;BEZEICHNUNG;BEMERKUNG;ANZAHL;POLIZEI;STANDORT;PLZ;ORTSTEIL;GPS_LAT;GPS_LON;LETZTE_AENDERUNG;GPS_KOORDINATEN;KATEGORIE;LINK
2001;1 Behindertenparkplatz;Durchgehend;1;51;Alt - Stralau 32 b;10245;Friedrichshain;52.49257616;13.47776149;18.09.2020;52.49257616, 13.47776149;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2002;1 Behindertenparkplatz;Mo-Fr 7-20.30h;1;51;Alt - Stralau 61;10245;Friedrichshain;52.49572698;13.46786062;18.09.2020;52.49572698, 13.46786062;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2003;1 Behindertenparkplatz;Mo-Fr 7-17h;1;53;Alte Jakobstraße 149;10969;Kreuzberg;52.49921288;13.39624932;18.09.2020;52.49921288, 13.39624932;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2004;1 Behindertenparkplatz;Mo-Fr 10-21h;1;53;Axel-Springer-Straße 40/41;10969;Kreuzberg;52.50771564;13.39886874;18.09.2020;52.50771564, 13.39886874;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2005;1 Behindertenparkplatz;Mo-Fr 8-18h;1;53;Axel-Springer-Straße 44;10969;Kreuzberg;52.50848042;13.39943428;18.09.2020;52.50848042, 13.39943428;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2006;1 Behindertenparkplatz;Mo-Fr 8-17h;1;51;Bänschstraße 74;10247;Friedrichshain;52.51747431;13.46872197;18.09.2020;52.51747431, 13.46872197;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2007;1 Behindertenparkplatz;Mo-Fr 8-16h;1;51;Barnimstraße 18;10249;Friedrichshain;52.52616297;13.42246379;18.09.2020;52.52616297, 13.42246379;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2008;1 Behindertenparkplatz;Durchgehend;1;51;Barnimstraße 18;10249;Friedrichshain;52.52608169;13.42259871;18.09.2020;52.52608169, 13.42259871;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2009;1 Behindertenparkplatz;Durchgehend;1;52;Bergmannstraße 25;10961;Kreuzberg;52.48906090;13.39478513;18.09.2020;52.48906090, 13.39478513;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2010;1 Behindertenparkplatz;Mo-Fr 8-18h;1;53;Bernburger Straße 30-31;10963;Kreuzberg;52.50496524;13.37977274;18.09.2020;52.50496524, 13.37977274;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2011;1 Behindertenparkplatz;Durchgehend;1;52;Blücherplatz 1;10961;Kreuzberg;52.49707004;13.39240943;18.09.2020;52.49707004, 13.39240943;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2012;3 Behindertenparkplätze;Durchgehend;3;52;Blücherplatz 3;10961;Kreuzberg;52.49705741;13.39142108;18.09.2020;52.49705741, 13.39142108;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2013;1 Behindertenparkplatz;Mo-Fr 8-19h;1;52;Blücherstraße 39;10961;Kreuzberg;52.49061355;13.40498900;18.09.2020;52.49061355, 13.40498900;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2014;2 Behindertenparkplätze;Mo-Fr 8-18h;2;52;Blücherstraße 62;10961;Kreuzberg;52.49506311;13.39834790;18.09.2020;52.49506311, 13.39834790;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2015;1 Behindertenparkplatz;Durchgehend;1;52;Böckhstraße 16;10967;Kreuzberg;52.49357828;13.41920619;18.09.2020;52.49357828, 13.41920619;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2016;1 Behindertenparkplatz;Durchgehend;1;52;Böckhstraße Höhe 43 / Ecke Graefestraße 83;10967;Kreuzberg;52.49381474;13.41866899;18.09.2020;52.49381474, 13.41866899;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2017;2 Behindertenparkplätze;Sa 8-16h, So 9-18h;2;51;Boxhagener Platz / Krossener Straße;10245;Friedrichshain;52.51027682;13.46037389;18.09.2020;52.51027682, 13.46037389;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
